TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN44181TA018-06,M449010,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN44901BM031-20,M449010,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN41901BM032-10,M149010,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN431979P005-1,M431970,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN13197NR003-08,M431970,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,,N/A,11X10768-A,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SN9207210094,711Y1440412426,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNX-10226,711X187040473318,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SN9207210083,711Y1440412426,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNX-10255,711X187640475943,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SN9207210084,711Y1440412426,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,BAKER,H801990047,106481655,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SN9207210082,711Y1440412426,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,BAKER,H801601810,105319002,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNX-10224,711X18704-0477913,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNX-10224,711X18704-0477913,1,RACK 1B
X NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SN9207210098,711Y1440412426,1,RACK 1B
X NIPPLE,N/A,"3-1/2"" HCS BOX X PIN",CHROME,OTIS,SN9201170104,711Y140,1,RACK 1B
X NIPPLE,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,,SMS-7100 2089-01,1949908-A,1,RACK 1B
X NIPPLE,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,,SMS-7100 2089-02,1949908-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-01,1232047-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-02,1232047-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-03,1232047-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-04,1232047-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-05,1232047-A,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" BLANK X BLANK",CHROME,SEG,SMS-70996034-06,1232047-A,1,RACK 1B
XN NIPPLE,WO24004-PC25-010,"2-7/8"" VAMTOP BOX X PIN",CHROME,PFT,N/A,"PFT903G000001,REV-A",1,RACK 1B
XN NIPPLE,WO24004-PC25-001,"2-7/8"" VAMTOP BOX X PIN",CHROME,PFT,N/A,"PFT903G000001,REV-A",1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,,SMS-71002046-02,1949306-A,1,RACK 1B
XN NIPPLE,WO6821-1,"4-1/2"" VAMTOP BOX X PIN",CHROME,,N/A,101909025REV-AB,1,RACK 1B
XN NIPPLE,N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,BAKER,H801785615,101315027,1,RACK 1B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNX11358,711XN18707,1,RACK 1B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,SNXN-2103,711XN18707-0476828,1,RACK 1B
XN NIPPLE,N/A,"2-3/8"" HCS BOX X PIN",CHROME,OTIS,707463-655155,11XN18752,1,RACK 1B
LOCATOR WITH BONDED SEALS,N/A,"3-1/2"" NATIONAL BOX X PIN",CHROME,,N/A,65506189,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" HCS BOX X 3-1/2"" VAMTOP PIN",CHROME,,SGISL/486-09/23,N/A,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" HCS PIN X 3-1/2"" HCS PIN",CHROME,ICON,IOSL/SPG/05/259,N/A,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" HCS PIN X 3-1/2"" HCS PIN",CHROME,ICON,IOSL/SPG/05/260,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" HCS PIN X PIN",CHROME,,HN15114051275,N/A,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" TB PIN",CHROME,ICON,IOS/SPG/0625/222,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP PIN",CHROME,ICON,IOS/SPG/0625/224.2,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP PIN",CHROME,ICON,IOS/SPG/0625/224,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" TB BOX X 2-7/8"" VAMTOP PIN",CHROME,ICON,IOS/SPG/0625/223,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP BOX X 2-7/8"" VAMTOP PIN",CHROME,ICON,IOSL/SPG/0823/025,N/A,1,RACK 1B
COUPLING 001,N/A,"2-7/8"" EUE BOX X HCS PIN",CHROME,,N/A,N/A,1,RACK 1B
COUPLING 002,N/A,"3-1/2"" VAMTOP BOX X BLANK",CHROME,,N/A,N/A,1,RACK 1B
COUPLING 003,N/A,"3-1/2"" VAMTOP PIN X BLANK",CHROME,,N/A,N/A,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP BOX",CHROME,,SN2,104784535,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP BOX",CHROME,,SN9,104784527,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP BOX",CHROME,,SN1,104784535,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN7,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN4,104784527,1,RACK 1B
CROSSOVER,N/A,"3-1/2"" VAMTOP PIN X 2-7/8"" VAMTOP BOX",CHROME,,SN1,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN8,104784527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN2,104784527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN1,104784527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN9,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN5,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN7,104784535,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN6,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN7,104784527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN6,104784527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN3,104784531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN4,104794531,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN5,104784537,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN6,104784535,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN3,104794527,1,RACK 1B
CROSSOVER,N/A,"2-7/8"" VAMTOP BOX X 3-1/2"" VAMTOP PIN",CHROME,,SN2,104784531,1,RACK 1B
HALF MULE SHOE,N/A,"3-1/2"" HCS BOX ",CHROME,,N/A,NISL-EMVAL-055,1,RACK 1B
MULE SHOE,N/A,"3-1/2"" HCS BOX X BLANK",CHROME,,SEG-HMS-01,N/A,1,RACK 1B
MULE SHOE,N/A,"3-1/2"" HCS BOX X BLANK",CHROME,,SEG-HMS-02,N/A,1,RACK 1B
